3730629,微软（Microsoft）,7AH-00320 LyncSVrEnCAL SNGL LicSAPk MVL UsrCAL
3730625,微软（Microsoft）,YEG-00420 LyncSvrPlusCAL SNGL LicSAPk MVL UsrCAL
3730624,微软（Microsoft）,6ZH-00414 LyncSvrStdCAL SNGL LicSAPk MVL UsrCAL
3730623,微软（Microsoft）,5HU-00224 LyncSvr SNGL LicSAPk MVL
3730622,微软（Microsoft）,6YH-00593 Lync SNGL LicSAPk MVL
3730497,安宁,安宁全协议电子邮件与消息系统V4.0-push-5gup
3730495,安宁,安宁全协议电子邮件与消息系统V4.0-push-50
3730494,安宁,安宁全协议电子邮件与消息系统V4.0-push-20
3730493,安宁,安宁全协议电子邮件与消息系统V4.0-push-5
3730370,推动时代,推动时代手机邮件（安全）系统V6.0-5gup
3730361,推动时代,推动时代手机邮件（安全）系统V6.0-30
3730360,推动时代,推动时代手机邮件（安全）系统V6.0-10
3730358,推动时代,推动时代手机邮件（安全）系统V6.0-50
3730207,乐天洪信,乐天洪信云平台移动办公系统V1.0
3727088,金山 WPS Office ,金山WPS Mail 邮件客户端移动版
3727084,金山 WPS Office ,金山WPS Office移动增强版
3727083,金山 WPS Office ,金山WPS Office移动专业版
3730612,微软（Microsoft）,D86-05323 VisioStd 2013 SNGL MVL
3730611,微软（Microsoft）,D87-05994 VisioPro 2013 SNGL MVL
3730610,微软（Microsoft）,H30-04037 PrjctPro 2013 SNGL MVL w1PrjctSvrCAL
3730609,微软（Microsoft）,021-10293 OfficeStd 2013 SNGL MVL
3730608,微软（Microsoft）,021-09744 OfficeStd 2010 SNGL MVL
3729588,龙鑫office办公软件,V2013
3728508,思普（SPGnux）,办公桌面系统V2.0
3728495,思普（SPGnux）,个人操纵系统V9.0
3727082,金山 WPS Office,金山WPS Mail 邮件客户端
3727081,金山 WPS Office,金山词霸2014专业版
3727079,金山 WPS Office,金山WPS Office专业增强版
3727078,金山 WPS Office,金山WPS Office 2013组合套装
3727077,金山 WPS Office,金山WPS Office 2013专业版
3726822,中标普华,中标普华office办公软件V6.0
3722231,永中Office办公软件,V2013
3921653,inspur浪潮,AS8000-M2
3921672,inspur浪潮,NF8480M4
3921669,inspur浪潮,P8000
3921676,inspur浪潮,NF5270M4
3921668,inspur浪潮,P8000
3921675,inspur浪潮,NF8460M4
3921655,inspur浪潮,AS520E-M1
3921667,inspur浪潮,P8000
3921666,inspur浪潮,P8000
3921673,inspur浪潮,NF5280M4
3921680,inspur浪潮,NX5840
3921557,强氧,强氧 TS5700 V3/262016
3921562,强氧,强氧 RS2700 V3/262016
3921559,强氧,强氧 RS1700 V3/269032
3921560,强氧,RS2700 V3/269032
3921487,新云东方,NL6812（6812-L1C）
3921486,新云东方,NA7824(7824-A1C)
3921485,新云东方,NA7822(7822-A1C)
3921484,新云东方,NA6814(6814-A1C)
3921488,新云东方,NL6822（6822-L1C）
3921355,戴尔,EqualLogic PS6210E
3921372,戴尔,S6000
3921357,戴尔,Dell Storage NX3330
3921369,戴尔,N4064F
3921356,戴尔,PowerVault MD3860f
3921370,戴尔,S4048-On
3921296,Oracle（Sun）,PCA compute server
3921144,HDS（日立数据系统）,VSP G1000
3921124,国路安,GLA天权安全虚拟桌面系统V2.0
3921142,HDS（日立数据系统）,VSP G200
3920919,柏科数据（Rorke）,vRD-7300G
3921024,银河风云,Tritium  S5800-52QF
3921022,银河风云,Tritium  S9800-08V-Chassis
3920865,联软科技,UiNXG-2020
3920797,Cenby新邦,SW3024（NAS）万兆网络存储 96TB
3920796,Cenby新邦,SW3036（NAS）万兆网络存储 144TB
3920828,东华合创,DISG-4040
3920614,ChangHong,ChangHong VSP G200	
3919321,LTHPC（联泰集群）,LT-8048B
3919064,华为,S7706
3919063,华为,S12704
3919062,华为,S12708
3918996,ZTE中兴,ZXR10 8908E-S
3919002,ZTE中兴,ZXR10 9904
3919019,ZTE中兴,ZXSEC US3305
3919021,ZTE中兴,ZXSEC US3316
3918995,ZTE中兴,ZXR10 8908E V321
3919020,ZTE中兴,ZXSEC US3300
3918951,ZTE中兴,ZXCLOUD R8500 G3
3918956,ZTE中兴,ZXCLOUD KU5200
3918994,ZTE中兴,ZXR10 8908E-H
3918999,ZTE中兴,ZXR10 5960-52TM-L
3919000,ZTE中兴,ZXR10 9912
3919024,ZTE中兴,ZXSEC US3320
3919023,ZTE中兴,ZXSEC US3312
3918959,ZTE中兴,ZXCLOUD KU5200
3918997,ZTE中兴,ZXR10 5960-64DL(V1.1/V1.2)
3919022,ZTE中兴,XSEC US3320
3918794,思科cisco,WS-C4503-E
3918814,思科cisco,UCSB-B200-M3-U
3918819,思科cisco,UCSC-C240-M4S
3918821,思科cisco,UCSC-C220-M4S
3918857,汉柏,OES H3024-F8
3918869,汉柏,ODS E2012
3918871,汉柏,OES E2016-E1
3918883,汉柏,CT-8809
3918813,思科cisco,UCSB-B200-M4-U
3918818,思科cisco,UCSC-C240-M4S
3918820,思科cisco,UCSC-C220-M4S
3918856,汉柏,OES E2024-F8
3918868,汉柏,OES E2016
3918870,汉柏,OES E2024-E10
3918780,思科cisco,UCSC-C220-M4S
3918792,思科cisco,WS-C6504-E
3918812,思科cisco,UCSB-B200-M3-U
3918817,思科cisco,UCSC-C240-M4S
3918772,思科cisco,UCSC-C240-M4S
3918789,思科cisco,UCSC-C220-M4S
3918791,思科cisco,WS-C4506-E
3918816,思科cisco,UCSC-C240-M4S
3918771,思科cisco,UCSC-C220-M4S
3918815,思科cisco,UCSB-B200-M4-U
3918822,思科cisco,UCSC-C240-M4S
3918578,Lenovo systemX,System x3850X6
3918585,Lenovo systemX,BladeCenter HS23
3918592,Lenovo systemX,System x3850X6
3918534,IBM,Power System S812LC
3918577,Lenovo systemX,System x3850X6
3918584,Lenovo systemX,Flex system x240M5
3918591,Lenovo systemX,System x3950X6
3918583,Lenovo systemX,Flex system x240M5
3918532,IBM,Power System S822LC
3918582,Lenovo systemX,Flex System x480 X6 
3918531,IBM,Power System S822LC
3918581,Lenovo systemX,Flex System x480 X6
3918586,Lenovo systemX,BladeCenter HS23
3918593,Lenovo systemX,Flex system x480X6
3918314,迪普（DPtech）,XR60-A12+主控+电源+千兆接口板
3918319,迪普（DPtech）,FW1000-GA-E
3918344,迪普（DPtech）,FW1000-MA-N（加3年病毒库）
3918312,迪普（DPtech）,DPX19000-A10+主控+电源+交换网板+千兆接口板+万兆接口板
3918317,迪普（DPtech）,FW1000-GC-N
3918343,迪普（DPtech）,FW1000-GS-N（加3年病毒库）
3918304,迪普（DPtech）,LSW3620-48GT4XGS
3918316,迪普（DPtech）,FW1000-ME-N
3918315,迪普（DPtech）,XR60-A5+主控+电源+千兆接口板
3918270,Ruijie（锐捷网络）,RG-N18010主机+双引擎+双网板+四电源
3918275,Ruijie（锐捷网络）,S7808C主机+双引擎+双电源
3918274,Ruijie（锐捷网络）,RG-S6220-48XS4QXS主机+双电源
3918272,Ruijie（锐捷网络）,RG-S6000C-48GT4XS-E主机+双电源
3918277,Ruijie（锐捷网络）,S8607E 主机+双引擎+双电源
